class,field,access_scope,field_type,description
Repertoire,repertoire_id,public,string,"Identifier for the repertoire object. This identifier should be globally unique so that repertoires from multiple studies can be combined together without conflict. The repertoire_id is used to link other AIRR data to a Repertoire. Specifically, the Rearrangements Schema includes repertoire_id for referencing the specific Repertoire for that Rearrangement."
Repertoire,repertoire_name,public,string,Short generic display name for the repertoire
Repertoire,repertoire_description,public,string,Generic repertoire description
Repertoire,study.study_id,public,string,Unique ID assigned by study registry
Repertoire,study.study_title,public,string,Descriptive study title
Repertoire,study.study_type.value,repertoire,string,Type of study design
Repertoire,study.study_type.id,repertoire,string,Type of study design (Ontology ID)
Repertoire,study.study_description,repertoire,string,Generic study description
Repertoire,study.inclusion_exclusion_criteria,repertoire,string,List of criteria for inclusion/exclusion for the study
Repertoire,study.grants,repertoire,string,Funding agencies and grant numbers
Repertoire,study.collected_by,repertoire,string,"Full contact information of the data collector, i.e. the person who is legally responsible for data collection and release. This should include an e-mail address."
Repertoire,study.lab_name,repertoire,string,Department of data collector
Repertoire,study.lab_address,repertoire,string,Institution and institutional address of data collector
Repertoire,study.submitted_by,repertoire,string,"Full contact information of the data depositor, i.e. the person submitting the data to a repository. This is supposed to be a short-lived and technical role until the submission is relased."
Repertoire,study.pub_ids,repertoire,string,Publications describing the rationale and/or outcome of the study
Repertoire,study.keywords_study,repertoire,array_string,Keywords describing properties of one or more data sets in a study
Repertoire,subject.subject_id,repertoire,string,"Subject ID assigned by submitter, unique within study"
Repertoire,subject.synthetic,repertoire,boolean,TRUE for libraries in which the diversity has been synthetically generated (e.g. phage display)
Repertoire,subject.organism.value,repertoire,string,Binomial designation of subject's species
Repertoire,subject.organism.id,repertoire,string,Binomial designation of subject's species (Ontology ID)
Repertoire,subject.sex,repertoire,string,Biological sex of subject
Repertoire,subject.age_min,repertoire,number,Specific age or lower boundary of age range.
Repertoire,subject.age_max,repertoire,number,Upper boundary of age range or equal to age_min for specific age. This field should only be null if age_min is null.
Repertoire,subject.age_unit.value,repertoire,string,Unit of age range
Repertoire,subject.age_unit.id,repertoire,string,Unit of age range (Ontology ID)
Repertoire,subject.age_event,repertoire,string,"Event in the study schedule to which `Age` refers. For NCBI BioSample this MUST be `sampling`. For other implementations submitters need to be aware that there is currently no mechanism to encode to potential delta between `Age event` and `Sample collection time`, hence the chosen events should be in temporal proximity."
Repertoire,subject.age,repertoire,string,DEPRECATED
Repertoire,subject.ancestry_population,repertoire,string,Broad geographic origin of ancestry (continent)
Repertoire,subject.ethnicity,repertoire,string,Ethnic group of subject (defined as cultural/language-based membership)
Repertoire,subject.race,repertoire,string,Racial group of subject (as defined by NIH)
Repertoire,subject.strain_name,repertoire,string,Non-human designation of the strain or breed of animal used
Repertoire,subject.linked_subjects,repertoire,string,Subject ID to which `Relation type` refers
Repertoire,subject.link_type,repertoire,string,"Relation between subject and `linked_subjects`, can be genetic or environmental (e.g.exposure)"
Repertoire,subject.diagnosis.study_group_description,repertoire,string,Designation of study arm to which the subject is assigned to
Repertoire,subject.diagnosis.disease_diagnosis,repertoire,string,Diagnosis of subject
Repertoire,subject.diagnosis.disease_length,repertoire,string,Time duration between initial diagnosis and current intervention
Repertoire,subject.diagnosis.disease_stage,repertoire,string,Stage of disease at current intervention
Repertoire,subject.diagnosis.prior_therapies,repertoire,string,List of all relevant previous therapies applied to subject for treatment of `Diagnosis`
Repertoire,subject.diagnosis.immunogen,repertoire,string,"Antigen, vaccine or drug applied to subject at this intervention"
Repertoire,subject.diagnosis.intervention,repertoire,string,Description of intervention
Repertoire,subject.diagnosis.medical_history,repertoire,string,Medical history of subject that is relevant to assess the course of disease and/or treatment
Repertoire,sample.sample_id,repertoire,string,"Sample ID assigned by submitter, unique within study"
Repertoire,sample.sample_type,repertoire,string,"The way the sample was obtained, e.g. fine-needle aspirate, organ harvest, peripheral venous puncture"
Repertoire,sample.tissue,repertoire,string,"The actual tissue sampled, e.g. lymph node, liver, peripheral blood"
Repertoire,sample.anatomic_site,repertoire,string,"The anatomic location of the tissue, e.g. Inguinal, femur"
Repertoire,sample.disease_state_sample,repertoire,string,Histopathologic evaluation of the sample
Repertoire,sample.collection_time_point_relative,repertoire,string,"Time point at which sample was taken, relative to `Collection time event`"
Repertoire,sample.collection_time_point_reference,repertoire,string,Event in the study schedule to which `Sample collection time` relates to
Repertoire,sample.biomaterial_provider,repertoire,string,Name and address of the entity providing the sample
Repertoire,sample.tissue_processing,repertoire,string,Enzymatic digestion and/or physical methods used to isolate cells from sample
